Execution completed in 265006.69 ms
Data loaded in 95.64 ms
Generation 2 completed in 6670.42 ms
Generation 3 completed in 6061.12 ms
Generation 4 completed in 5670.44 ms
Generation 5 completed in 5496.51 ms
Generation 6 completed in 5374.25 ms
Generation 7 completed in 5331.74 ms
Generation 8 completed in 5286.81 ms
Generation 9 completed in 5264.31 ms
Generation 10 completed in 5236.72 ms
Generation 11 completed in 5221.06 ms
Generation 12 completed in 5846.48 ms
Generation 13 completed in 5399.12 ms
Generation 14 completed in 5212.81 ms
Generation 15 completed in 5178.91 ms
Generation 16 completed in 5188.12 ms
Generation 17 completed in 5159.18 ms
Generation 18 completed in 5151.10 ms
Generation 19 completed in 5148.74 ms
Generation 20 completed in 5131.92 ms
Generation 21 completed in 5136.29 ms
Generation 22 completed in 5746.42 ms
Generation 23 completed in 5357.42 ms
Generation 24 completed in 5187.48 ms
Generation 25 completed in 5079.19 ms
Generation 26 completed in 5068.43 ms
Generation 27 completed in 5142.19 ms
Generation 28 completed in 5090.23 ms
Generation 29 completed in 5112.54 ms
Generation 30 completed in 5073.63 ms
Generation 31 completed in 5110.64 ms
Generation 32 completed in 5674.01 ms
Generation 33 completed in 5329.34 ms
Generation 34 completed in 5143.88 ms
Generation 35 completed in 5091.10 ms
Generation 36 completed in 5046.35 ms
Generation 37 completed in 5062.37 ms
Generation 38 completed in 5067.53 ms
Generation 39 completed in 5056.10 ms
Generation 40 completed in 5045.81 ms
Generation 41 completed in 5056.66 ms
Generation 42 completed in 5664.47 ms
Generation 43 completed in 5288.25 ms
Generation 44 completed in 5110.16 ms
Generation 45 completed in 5043.10 ms
Generation 46 completed in 5041.77 ms
Generation 47 completed in 5018.44 ms
Generation 48 completed in 5034.82 ms
Generation 49 completed in 5019.93 ms
Generation 50 completed in 4997.69 ms
Generation 51 completed in 4991.80 ms
Best chromosome: 27 17 43 35 45 11 19 12 22 13 24 10 46 20 32 14 39 15 2 33 38 31 34 3 44 9 23 47 25 41 4 28 1 40 21 7 0 37 8 30 6 18 36 5 29 26 16 42 
Best distance: 49573.722345
